jour;type;phase;semaine;titre;blocs;secondaire;plein_15_min;test;challenge
"19";"regular";"Phase I";"2";"PUSH + PULL";"PUSH — Épaules · ÉCHEC · VOLUME | PULL · ÉCHEC · VOLUME";"";"oui";"";""
"20";"challenge";"Phase I";"2";"CHALLENGE DAY — LEVELS";"";"";"non";"";"levels"
"21";"regular";"Phase I";"3";"LEGS + CORE";"LEGS — Fentes / explosivité · ÉCHEC · DENSITÉ";"core";"non";"";""
"22";"regular";"Phase I";"3";"PUSH + CARDIO";"PUSH — Press KB · ÉCHEC · DENSITÉ";"cardio";"non";"";""
"23";"regular";"Phase I";"3";"PULL + CORE";"PULL · ÉCHEC · DENSITÉ";"core";"non";"";""
"24";"regular";"Phase I";"3";"ARMS + CARDIO";"ARMS · 2 supersets antagonistes";"cardio + KB";"non";"";""
"25";"regular";"Phase I";"3";"QUADRICEPS + ISCHIOS + CORE";"QUADRICEPS / ISCHIOS · 2 supersets antagonistes";"core";"non";"";""
"26";"regular";"Phase I";"3";"PUSH + PULL";"PUSH / PULL · 3 supersets antagonistes";"";"oui";"";""
"27";"challenge";"Phase I";"3";"CHALLENGE DAY — ASCENSION";"";"";"non";"";"ascension"
"28";"regular";"Phase II";"1";"LEGS + CORE";"LEGS — Squat · HOLD · 2 s isométrie";"core";"non";"";""
"29";"regular";"Phase II";"1";"PUSH + CARDIO";"PUSH — Pompes · HOLD · 2 s isométrie";"cardio";"non";"";""
"30";"regular";"Phase II";"1";"PULL + CORE";"PULL · HOLD · 2 s isométrie";"core";"non";"";""
"31";"regular";"Phase II";"1";"ARMS + CARDIO";"ARMS · HOLD · 3 séries / muscle";"cardio + KB";"non";"";""
"32";"regular";"Phase II";"1";"QUADRICEPS + ISCHIOS + CORE";"QUADRICEPS / ISCHIOS · HOLD · 3 séries / muscle";"core";"non";"";""
"33";"regular";"Phase II";"1";"PUSH + PULL";"PUSH — Dips · HOLD · 2 s isométrie | PULL · HOLD · 2 s isométrie";"";"oui";"";""
"34";"challenge";"Phase II";"1";"CHALLENGE DAY — BURN & RUSH";"";"";"non";"";"burn-rush"
"35";"regular";"Phase II";"2";"LEGS + CORE";"LEGS — Chaîne postérieure · SLOW · 4 s excentrique";"core";"non";"";""
"36";"regular";"Phase II";"2";"PUSH + CARDIO";"PUSH — Angles · SLOW · 4 s excentrique";"cardio";"non";"";""
"37";"regular";"Phase II";"2";"PULL + CORE";"PULL · SLOW · 4 s excentrique";"core";"non";"";""
"38";"regular";"Phase II";"2";"ARMS + CARDIO";"ARMS · SLOW · 4 séries / muscle";"cardio + KB";"non";"";""
"39";"regular";"Phase II";"2";"QUADRICEPS + ISCHIOS + CORE";"QUADRICEPS / ISCHIOS · SLOW · 4 séries / muscle";"core";"non";"";""
"40";"regular";"Phase II";"2";"PUSH + PULL";"PUSH — Épaules · SLOW · 4 s excentrique | PULL · SLOW · 4 s excentrique";"";"oui";"";""
"41";"challenge";"Phase II";"2";"CHALLENGE DAY — LEVELS";"";"";"non";"";"levels"
"42";"regular";"Phase II";"3";"LEGS + CORE";"LEGS — Fentes / explosivité · DRIVE · intention concentrique maximale";"core";"non";"";""
"43";"regular";"Phase II";"3";"PUSH + CARDIO";"PUSH — Press KB · DRIVE · intention concentrique maximale";"cardio";"non";"";""
"44";"regular";"Phase II";"3";"PULL + CORE";"PULL · DRIVE · intention concentrique maximale";"core";"non";"";""
"45";"regular";"Phase II";"3";"ARMS + CARDIO";"ARMS · DRIVE · 3 supersets antagonistes";"cardio + KB";"non";"";""
"46";"regular";"Phase II";"3";"QUADRICEPS + ISCHIOS + CORE";"QUADRICEPS / ISCHIOS · DRIVE · 3 supersets antagonistes";"core";"non";"";""
"47";"regular";"Phase II";"3";"PUSH + PULL";"PUSH / PULL · 4 supersets antagonistes";"";"oui";"";""
"48";"challenge";"Phase II";"3";"CHALLENGE DAY — ASCENSION";"";"";"non";"";"ascension"
"49";"test";"Tests intermédiaires";"0";"RETEST LEGS";"";"";"non";"legs";""
"50";"test";"Tests intermédiaires";"0";"RETEST PUSH";"";"";"non";"push";""
"51";"test";"Tests intermédiaires";"0";"RETEST PULL";"";"";"non";"pull";""
"52";"test";"Tests intermédiaires";"0";"RETEST CORE";"";"";"non";"core";""
"53";"test";"Tests intermédiaires";"0";"RETEST CARDIO";"";"";"non";"cardio";""
"54";"regular";"Phase III";"1";"LEGS + CORE";"LEGS — Squat · REST-PAUSE · 1 + 5";"core";"non";"";""
"55";"regular";"Phase III";"1";"PUSH + CARDIO";"PUSH — Pompes · REST-PAUSE · 1 + 5";"cardio";"non";"";""
"56";"regular";"Phase III";"1";"PULL + CORE";"PULL · REST-PAUSE · 1 + 5";"core";"non";"";""
"57";"regular";"Phase III";"1";"ARMS + CARDIO";"ARMS · REST-PAUSE · 1 + 4 / muscle";"cardio + KB";"non";"";""
"58";"regular";"Phase III";"1";"QUADRICEPS + ISCHIOS + CORE";"QUADRICEPS / ISCHIOS · REST-PAUSE · 1 + 4 / muscle";"core";"non";"";""
"59";"regular";"Phase III";"1";"PUSH + PULL";"PUSH — Dips · REST-PAUSE · 1 + 5 | PULL · REST-PAUSE · 1 + 5";"";"oui";"";""
"60";"challenge";"Phase III";"1";"CHALLENGE DAY — BURN & RUSH";"";"";"non";"";"burn-rush"
"61";"regular";"Phase III";"2";"LEGS + CORE";"LEGS — Chaîne postérieure · REST-PAUSE · 1 + 7";"core";"non";"";""
"62";"regular";"Phase III";"2";"PUSH + CARDIO";"PUSH — Angles · REST-PAUSE · 1 + 7";"cardio";"non";"";""
"63";"regular";"Phase III";"2";"PULL + CORE";"PULL · REST-PAUSE · 1 + 7";"core";"non";"";""
"64";"regular";"Phase III";"2";"ARMS + CARDIO";"ARMS · REST-PAUSE · 1 + 5 / muscle";"cardio + KB";"non";"";""
"65";"regular";"Phase III";"2";"QUADRICEPS + ISCHIOS + CORE";"QUADRICEPS / ISCHIOS · REST-PAUSE · 1 + 5 / muscle";"core";"non";"";""
"66";"regular";"Phase III";"2";"PUSH + PULL";"PUSH — Épaules · REST-PAUSE · 1 + 7 | PULL · REST-PAUSE · 1 + 7";"";"oui";"";""
"67";"challenge";"Phase III";"2";"CHALLENGE DAY — LEVELS";"";"";"non";"";"levels"
"68";"regular";"Phase III";"3";"LEGS + CORE";"LEGS — Fentes / explosivité · REST-PAUSE DENSITÉ · niveau -1";"core";"non";"";""
"69";"regular";"Phase III";"3";"PUSH + CARDIO";"PUSH — Press KB · REST-PAUSE DENSITÉ · niveau -1";"cardio";"non";"";""
"70";"regular";"Phase III";"3";"PULL + CORE";"PULL · REST-PAUSE DENSITÉ · niveau -1";"core";"non";"";""
"71";"regular";"Phase III";"3";"ARMS + CARDIO";"ARMS · REST-PAUSE RELAY · niveau -1";"cardio + KB";"non";"";""
"72";"regular";"Phase III";"3";"QUADRICEPS + ISCHIOS + CORE";"QUADRICEPS / ISCHIOS · REST-PAUSE RELAY · niveau -1";"core";"non";"";""
"73";"regular";"Phase III";"3";"PUSH + PULL";"PUSH / PULL · REST-PAUSE RELAY · 1 + 5";"";"oui";"";""
"74";"challenge";"Phase III";"3";"CHALLENGE DAY — ASCENSION";"";"";"non";"";"ascension"
"75";"regular";"Phase IV";"1";"LEGS + CORE";"LEGS — Squat · DOUBLE DROP ×2 | LEGS — Chaîne postérieure · DOUBLE DROP ×2";"core";"non";"";""
"76";"regular";"Phase IV";"1";"PUSH + CARDIO";"PUSH — Pompes · DOUBLE DROP ×2 | PUSH — Angles · DOUBLE DROP ×2";"cardio";"non";"";""
"77";"regular";"Phase IV";"1";"PULL + CORE";"PULL · DOUBLE DROP ×4";"core";"non";"";""
"78";"regular";"Phase IV";"1";"ARMS + CARDIO";"ARMS · DOUBLE DROP · 3 rounds";"cardio + KB";"non";"";""
"79";"regular";"Phase IV";"1";"QUADRICEPS + ISCHIOS + CORE";"QUADRICEPS / ISCHIOS · DOUBLE DROP · 3 rounds";"core";"non";"";""
"80";"regular";"Phase IV";"1";"PUSH + PULL";"PUSH — Dips · DOUBLE DROP ×4 | PULL · DOUBLE DROP ×4";"";"oui";"";""
"81";"challenge";"Phase IV";"1";"CHALLENGE DAY — BURN & RUSH";"";"";"non";"";"burn-rush"
"82";"regular";"Phase IV";"2";"LEGS + CORE";"LEGS — Chaîne postérieure · DOUBLE DROP ×3 | LEGS — Fentes / explosivité · DOUBLE DROP ×3";"core";"non";"";""
"83";"regular";"Phase IV";"2";"PUSH + CARDIO";"PUSH — Angles · DOUBLE DROP ×3 | PUSH — Press KB · DOUBLE DROP ×3";"cardio";"non";"";""
"84";"regular";"Phase IV";"2";"PULL + CORE";"PULL · DOUBLE DROP ×5";"core";"non";"";""
"85";"regular";"Phase IV";"2";"ARMS + CARDIO";"ARMS · DOUBLE DROP · 4 rounds";"cardio + KB";"non";"";""
"86";"regular";"Phase IV";"2";"QUADRICEPS + ISCHIOS + CORE";"QUADRICEPS / ISCHIOS · DOUBLE DROP · 4 rounds";"core";"non";"";""
"87";"regular";"Phase IV";"2";"PUSH + PULL";"PUSH / PULL · DOUBLE DROP · 5 rounds";"";"oui";"";""
"88";"challenge";"Phase IV";"2";"CHALLENGE DAY — LEVELS";"";"";"non";"";"levels"
"89";"regular";"Phase IV";"3";"LEGS + CORE";"LEGS — Squat · TRIPLE DROP ×2 | LEGS — Fentes / explosivité · TRIPLE DROP ×2";"core";"non";"";""
"90";"regular";"Phase IV";"3";"PUSH + CARDIO";"PUSH — Pompes · TRIPLE DROP ×2 | PUSH — Press KB · TRIPLE DROP ×2";"cardio";"non";"";""
"91";"regular";"Phase IV";"3";"PULL + CORE";"PULL · TRIPLE DROP ×3";"core";"non";"";""
"92";"regular";"Phase IV";"3";"ARMS + CARDIO";"ARMS · TRIPLE DROP · 2 rounds";"cardio + KB";"non";"";""
"93";"regular";"Phase IV";"3";"QUADRICEPS + ISCHIOS + CORE";"QUADRICEPS / ISCHIOS · TRIPLE DROP · 2 rounds";"core";"non";"";""
"94";"regular";"Phase IV";"3";"PUSH + PULL";"PUSH / PULL · TRIPLE DROP · 3 rounds";"";"oui";"";""
"95";"challenge";"Phase IV";"3";"CHALLENGE DAY — ASCENSION";"";"";"non";"";"ascension"
"96";"test";"Tests finaux";"0";"TEST FINAL LEGS";"";"";"non";"legs";""
"97";"test";"Tests finaux";"0";"TEST FINAL PUSH";"";"";"non";"push";""
"98";"test";"Tests finaux";"0";"TEST FINAL PULL";"";"";"non";"pull";""
"99";"test";"Tests finaux";"0";"TEST FINAL CORE";"";"";"non";"core";""
"100";"test";"Tests finaux";"0";"TEST FINAL CARDIO";"";"";"non";"cardio";""
