id;nom;categorie;unilateral;materiel;loop;frame;vimeo
jump_lunge_direct_kb;Fentes sautées directes + KB;LEGS;oui;Kettlebell;./assets/media/loops/jump_lunge_direct_kb.mp4;./assets/media/frames/jump_lunge_direct_kb.webp;
sissy_assisted;Sissy Squat partiel très assisté — deux mains sur chaise;QUADRICEPS;non;Aucun;./assets/media/loops/sissy_assisted.mp4;./assets/media/frames/sissy_assisted.webp;
sissy_partial;Sissy Squat partiel non assisté — une main au mur;QUADRICEPS;non;Aucun;./assets/media/loops/sissy_partial.mp4;./assets/media/frames/sissy_partial.webp;
sissy_full;Sissy Squat amplitude complète — une main au mur;QUADRICEPS;non;Aucun;./assets/media/loops/sissy_full.mp4;./assets/media/frames/sissy_full.webp;
sissy_kb;Sissy Squat amplitude complète + KB;QUADRICEPS;non;Kettlebell;./assets/media/loops/sissy_kb.mp4;./assets/media/frames/sissy_kb.webp;
reverse_nordic_arms_down;Reverse Nordic — bras le long du corps;QUADRICEPS;non;Aucun;./assets/media/loops/reverse_nordic_arms_down.mp4;./assets/media/frames/reverse_nordic_arms_down.webp;
reverse_nordic_arms_up;Reverse Nordic — bras au-dessus de la tête;QUADRICEPS;non;Aucun;./assets/media/loops/reverse_nordic_arms_up.mp4;./assets/media/frames/reverse_nordic_arms_up.webp;
reverse_nordic_kb;Reverse Nordic + KB;QUADRICEPS;non;Kettlebell;./assets/media/loops/reverse_nordic_kb.mp4;./assets/media/frames/reverse_nordic_kb.webp;
leg_ext_chair_bi;Leg Extension assistance chaise bilatéral;QUADRICEPS;non;Aucun;./assets/media/loops/leg_ext_chair_bi.mp4;./assets/media/frames/leg_ext_chair_bi.webp;
leg_ext_chair_uni;Leg Extension unilatéral assistance chaise;QUADRICEPS;oui;Aucun;./assets/media/loops/leg_ext_chair_uni.mp4;./assets/media/frames/leg_ext_chair_uni.webp;
quad_killer;Kettlebell Quad Killer;QUADRICEPS;non;Kettlebell;./assets/media/loops/quad_killer.mp4;./assets/media/frames/quad_killer.webp;
leg_ext_table_uni;Leg Extension unilatéral assis sur table;QUADRICEPS;oui;Aucun;./assets/media/loops/leg_ext_table_uni.mp4;./assets/media/frames/leg_ext_table_uni.webp;
leg_ext_kb_supine;Leg Extension unilatéral + KB allongé sur le dos;QUADRICEPS;oui;Kettlebell;./assets/media/loops/leg_ext_kb_supine.mp4;./assets/media/frames/leg_ext_kb_supine.webp;
hip_bridge_chair;Hip Bridge talons sur chaise;ISCHIOS;non;Aucun;./assets/media/loops/hip_bridge_chair.mp4;./assets/media/frames/hip_bridge_chair.webp;
hip_bridge_chair_kb;Hip Bridge talons sur chaise + KB;ISCHIOS;non;Kettlebell;./assets/media/loops/hip_bridge_chair_kb.mp4;./assets/media/frames/hip_bridge_chair_kb.webp;
sliding_leg_curl;Sliding Leg Curl bilatéral;ISCHIOS;non;Chaussettes / sol glissant;./assets/media/loops/sliding_leg_curl.mp4;./assets/media/frames/sliding_leg_curl.webp;
sliding_leg_curl_kb;Sliding Leg Curl bilatéral + KB;ISCHIOS;non;Kettlebell + sol glissant;./assets/media/loops/sliding_leg_curl_kb.mp4;./assets/media/frames/sliding_leg_curl_kb.webp;
sliding_leg_curl_uni;Sliding Leg Curl unilatéral;ISCHIOS;oui;Chaussettes / sol glissant;./assets/media/loops/sliding_leg_curl_uni.mp4;./assets/media/frames/sliding_leg_curl_uni.webp;
knee_push_partial;Pompes genoux partielles — moitié haute;PUSH;non;Aucun;./assets/media/loops/knee_push_partial.mp4;./assets/media/frames/knee_push_partial.webp;
knee_hand_release;Pompes Hand Release genoux;PUSH;non;Aucun;./assets/media/loops/knee_hand_release.mp4;./assets/media/frames/knee_hand_release.webp;
knee_diamond_kb;Pompes diamant genoux sur KB;PUSH;non;Kettlebell;./assets/media/loops/knee_diamond_kb.mp4;./assets/media/frames/knee_diamond_kb.webp;
pushup;Pompes classiques;PUSH;non;Aucun;./assets/media/loops/pushup.mp4;./assets/media/frames/pushup.webp;
offset_pushup;Pompes décalées;PUSH;non;Aucun;./assets/media/loops/offset_pushup.mp4;./assets/media/frames/offset_pushup.webp;
diamond_pushup_kb;Pompes diamant sur KB;PUSH;non;Kettlebell;./assets/media/loops/diamond_pushup_kb.mp4;./assets/media/frames/diamond_pushup_kb.webp;
archer_pushup_kb;Pompes Archer — main de travail sur KB;PUSH;oui;Kettlebell;./assets/media/loops/archer_pushup_kb.mp4;./assets/media/frames/archer_pushup_kb.webp;
one_arm_pushup_kb;Pompe à un bras — main sur KB;PUSH;oui;Kettlebell;./assets/media/loops/one_arm_pushup_kb.mp4;./assets/media/frames/one_arm_pushup_kb.webp;
knee_shoulder_taps;Pompes genoux Shoulder Taps;PUSH;non;Aucun;./assets/media/loops/knee_shoulder_taps.mp4;./assets/media/frames/knee_shoulder_taps.webp;
hand_release_pushup;Pompes Hand Release;PUSH;non;Aucun;./assets/media/loops/hand_release_pushup.mp4;./assets/media/frames/hand_release_pushup.webp;
pushup_shoulder_taps;Push-Up Shoulder Taps;PUSH;non;Aucun;./assets/media/loops/pushup_shoulder_taps.mp4;./assets/media/frames/pushup_shoulder_taps.webp;
explosive_pushup;Pompes explosives / plyométriques;PUSH;non;Aucun;./assets/media/loops/explosive_pushup.mp4;./assets/media/frames/explosive_pushup.webp;
pushup_table;Pompes très inclinées sur table;PUSH;non;Table;./assets/media/loops/pushup_table.mp4;./assets/media/frames/pushup_table.webp;
pushup_2chairs;Pompes inclinées — mains sur 2 chaises;PUSH;non;2 chaises;./assets/media/loops/pushup_2chairs.mp4;./assets/media/frames/pushup_2chairs.webp;
pushup_3chairs;Pompes Deep ROM — 3 chaises;PUSH;non;3 chaises;./assets/media/loops/pushup_3chairs.mp4;./assets/media/frames/pushup_3chairs.webp;
decline_pushup;Pompes déclinées — pieds sur chaise;PUSH;non;Chaise;./assets/media/loops/decline_pushup.mp4;./assets/media/frames/decline_pushup.webp;
decline_diamond_kb;Pompes diamant déclinées sur KB;PUSH;non;Chaise + kettlebell;./assets/media/loops/decline_diamond_kb.mp4;./assets/media/frames/decline_diamond_kb.webp;
floor_press_bridge;KB Floor Press bilatéral en pont;PUSH;non;Kettlebell;./assets/media/loops/floor_press_bridge.mp4;./assets/media/frames/floor_press_bridge.webp;
floor_press;KB Floor Press bilatéral au sol;PUSH;non;Kettlebell;./assets/media/loops/floor_press.mp4;./assets/media/frames/floor_press.webp;
incline_press_chair;KB Press bilatéral incliné sur chaise;PUSH;non;Kettlebell + chaise;./assets/media/loops/incline_press_chair.mp4;./assets/media/frames/incline_press_chair.webp;
semi_uni_floor_press;KB Floor Press semi-unilatéral;PUSH;oui;Kettlebell;./assets/media/loops/semi_uni_floor_press.mp4;./assets/media/frames/semi_uni_floor_press.webp;
uni_floor_press;KB Floor Press unilatéral;PUSH;oui;Kettlebell;./assets/media/loops/uni_floor_press.mp4;./assets/media/frames/uni_floor_press.webp;
uni_fly_press;KB Fly-Press unilatéral;PUSH;oui;Kettlebell;./assets/media/loops/uni_fly_press.mp4;./assets/media/frames/uni_fly_press.webp;
dips_assisted;Dips penchés assistés;PUSH;non;Chaises / support;./assets/media/loops/dips_assisted.mp4;./assets/media/frames/dips_assisted.webp;
dips;Dips penchés non assistés;PUSH;non;Chaises / support;./assets/media/loops/dips.mp4;./assets/media/frames/dips.webp;
tyson_knees;Tyson Push-Up genoux;PUSH;non;Aucun;./assets/media/loops/tyson_knees.mp4;./assets/media/frames/tyson_knees.webp;
tyson;Tyson Push-Up;PUSH;non;Aucun;./assets/media/loops/tyson.mp4;./assets/media/frames/tyson.webp;
ohp_bi_momentum;KB Overhead Press bilatéral debout avec élan;PUSH;non;Kettlebell;./assets/media/loops/ohp_bi_momentum.mp4;./assets/media/frames/ohp_bi_momentum.webp;
ohp_bi_kneeling;KB Overhead Press bilatéral à genoux strict;PUSH;non;Kettlebell;./assets/media/loops/ohp_bi_kneeling.mp4;./assets/media/frames/ohp_bi_kneeling.webp;
ohp_uni_momentum;KB Overhead Press unilatéral debout avec élan;PUSH;oui;Kettlebell;./assets/media/loops/ohp_uni_momentum.mp4;./assets/media/frames/ohp_uni_momentum.webp;
ohp_uni_seated;KB Overhead Press unilatéral assis;PUSH;oui;Kettlebell;./assets/media/loops/ohp_uni_seated.mp4;./assets/media/frames/ohp_uni_seated.webp;
wide_knee_partial;Pompes larges genoux partielles;PUSH;non;Aucun;./assets/media/loops/wide_knee_partial.mp4;./assets/media/frames/wide_knee_partial.webp;
wide_knee_hr;Pompes larges genoux Hand Release;PUSH;non;Aucun;./assets/media/loops/wide_knee_hr.mp4;./assets/media/frames/wide_knee_hr.webp;
wide_pushup;Pompes larges;PUSH;non;Aucun;./assets/media/loops/wide_pushup.mp4;./assets/media/frames/wide_pushup.webp;
pendulum_pushup;Pendulum Push-Up;PUSH;non;Aucun;./assets/media/loops/pendulum_pushup.mp4;./assets/media/frames/pendulum_pushup.webp;
pendulum_decline;Pendulum Push-Up décliné;PUSH;non;Chaise;./assets/media/loops/pendulum_decline.mp4;./assets/media/frames/pendulum_decline.webp;
superman_row;Superman Row serviette;PULL;non;Serviette;./assets/media/loops/superman_row.mp4;./assets/media/frames/superman_row.webp;
row_bi_towel;Row bilatéral KB avec serviette;PULL;non;Kettlebell + serviette;./assets/media/loops/row_bi_towel.mp4;./assets/media/frames/row_bi_towel.webp;
row_bi_o;Row bilatéral KB « en O »;PULL;non;Kettlebell;./assets/media/loops/row_bi_o.mp4;./assets/media/frames/row_bi_o.webp;
row_uni_close;Row unilatéral KB — coude au corps;PULL;oui;Kettlebell;./assets/media/loops/row_uni_close.mp4;./assets/media/frames/row_uni_close.webp;
row_uni_open;Row unilatéral KB — coude ouvert;PULL;oui;Kettlebell;./assets/media/loops/row_uni_open.mp4;./assets/media/frames/row_uni_open.webp;
reverse_fly_uni;Reverse Fly unilatéral penché + KB;PULL;oui;Kettlebell;./assets/media/loops/reverse_fly_uni.mp4;./assets/media/frames/reverse_fly_uni.webp;
face_pull_towel;Face Pull KB penché avec serviette;PULL;non;Kettlebell + serviette;./assets/media/loops/face_pull_towel.mp4;./assets/media/frames/face_pull_towel.webp;
skier_pull_uni;Skier Pull unilatéral penché + KB;PULL;oui;Kettlebell;./assets/media/loops/skier_pull_uni.mp4;./assets/media/frames/skier_pull_uni.webp;
drag_curl_floor;Drag Curl unilatéral frotté au sol;BICEPS;oui;Kettlebell;./assets/media/loops/drag_curl_floor.mp4;./assets/media/frames/drag_curl_floor.webp;
drag_curl_kb;KB Drag Curl — coudes écartés;BICEPS;non;Kettlebell;./assets/media/loops/drag_curl_kb.mp4;./assets/media/frames/drag_curl_kb.webp;
curl_bi_towel;Curl bilatéral KB avec rotation + serviette;BICEPS;non;Kettlebell + serviette;./assets/media/loops/curl_bi_towel.mp4;./assets/media/frames/curl_bi_towel.webp;
curl_row_uni;Curl-Row supination unilatéral;BICEPS;oui;Kettlebell;./assets/media/loops/curl_row_uni.mp4;./assets/media/frames/curl_row_uni.webp;
hammer_curl_momentum;Curl marteau unilatéral avec élan standardisé;BICEPS;oui;Kettlebell;./assets/media/loops/hammer_curl_momentum.mp4;./assets/media/frames/hammer_curl_momentum.webp;
strict_curl_uni;Curl KB unilatéral strict;BICEPS;oui;Kettlebell;./assets/media/loops/strict_curl_uni.mp4;./assets/media/frames/strict_curl_uni.webp;
neck_crusher;Neck Crusher KB;TRICEPS;non;Kettlebell;./assets/media/loops/neck_crusher.mp4;./assets/media/frames/neck_crusher.webp;
close_grip_floor_press;Close-Grip KB Floor Press;TRICEPS;non;Kettlebell;./assets/media/loops/close_grip_floor_press.mp4;./assets/media/frames/close_grip_floor_press.webp;
incline_neck_extension;Extension nuque inclinée assis sur chaise;TRICEPS;non;Kettlebell + chaise;./assets/media/loops/incline_neck_extension.mp4;./assets/media/frames/incline_neck_extension.webp;
guillotine_press;Guillotine Triceps Press KB;TRICEPS;non;Kettlebell;./assets/media/loops/guillotine_press.mp4;./assets/media/frames/guillotine_press.webp;
skull_crusher;Skull Crusher KB;TRICEPS;non;Kettlebell;./assets/media/loops/skull_crusher.mp4;./assets/media/frames/skull_crusher.webp;
wall_triceps;Wall Triceps Extension;TRICEPS;non;Mur;./assets/media/loops/wall_triceps.mp4;./assets/media/frames/wall_triceps.webp;
cobra_knees;Pompes Cobra genoux avec support KB au bassin;TRICEPS;non;Kettlebell;./assets/media/loops/cobra_knees.mp4;./assets/media/frames/cobra_knees.webp;
chair_triceps;Chair Triceps Extension;TRICEPS;non;Chaise;./assets/media/loops/chair_triceps.mp4;./assets/media/frames/chair_triceps.webp;
cobra_pushup;Pompes Cobra;TRICEPS;non;Aucun;./assets/media/loops/cobra_pushup.mp4;./assets/media/frames/cobra_pushup.webp;
tiger_knees;Pompes Tigre genoux;TRICEPS;non;Aucun;./assets/media/loops/tiger_knees.mp4;./assets/media/frames/tiger_knees.webp;
tiger_pushup;Pompes Tigre;TRICEPS;non;Aucun;./assets/media/loops/tiger_pushup.mp4;./assets/media/frames/tiger_pushup.webp;
side_plank_row;Side Plank Row;CORE;oui;Kettlebell;./assets/media/loops/side_plank_row.mp4;./assets/media/frames/side_plank_row.webp;
sliding_kb_plank;Sliding Kettlebell Plank;CORE;oui;Kettlebell + serviette;./assets/media/loops/sliding_kb_plank.mp4;./assets/media/frames/sliding_kb_plank.webp;
seated_assisted_clean;Clean assisté assis;CORE;oui;Kettlebell;./assets/media/loops/seated_assisted_clean.mp4;./assets/media/frames/seated_assisted_clean.webp;
seated_halo;Halo assis;CORE;non;Kettlebell;./assets/media/loops/seated_halo.mp4;./assets/media/frames/seated_halo.webp;
side_kick_through;Side Kick Through;CORE;non;Aucun;./assets/media/loops/side_kick_through.mp4;./assets/media/frames/side_kick_through.webp;
lunge_uppercuts;Uppercuts en fente;CORE;non;Aucun;./assets/media/loops/lunge_uppercuts.mp4;./assets/media/frames/lunge_uppercuts.webp;
bird_dog_hand_foot;Bird Dog pied-main;CORE;oui;Aucun;./assets/media/loops/bird_dog_hand_foot.mp4;./assets/media/frames/bird_dog_hand_foot.webp;
lunge_kb_swing;KB Swing en fente;CORE;oui;Kettlebell;./assets/media/loops/lunge_kb_swing.mp4;./assets/media/frames/lunge_kb_swing.webp;
candlestick_kb;Chandelles avec saisie KB;CORE;non;Kettlebell;./assets/media/loops/candlestick_kb.mp4;./assets/media/frames/candlestick_kb.webp;
around_world;Around The World;CORE;non;Kettlebell;./assets/media/loops/around_world.mp4;./assets/media/frames/around_world.webp;
sliding_toes_plank;Sliding Toes Plank;CORE;non;Chaussettes / sol glissant;./assets/media/loops/sliding_toes_plank.mp4;./assets/media/frames/sliding_toes_plank.webp;
iron_trident;Iron Trident;CORE;non;Aucun;./assets/media/loops/iron_trident.mp4;./assets/media/frames/iron_trident.webp;
russian_twist;Russian Twists;CORE;non;Aucun;./assets/media/loops/russian_twist.mp4;./assets/media/frames/russian_twist.webp;
uni_kneel_to_squat;KB Kneel-To-Squat unilatéral;CORE;oui;Kettlebell;./assets/media/loops/uni_kneel_to_squat.mp4;./assets/media/frames/uni_kneel_to_squat.webp;
kb_iso_leg_raise;KB Iso Hold Leg Raises;CORE;non;Kettlebell;./assets/media/loops/kb_iso_leg_raise.mp4;./assets/media/frames/kb_iso_leg_raise.webp;
knee_sliding_mountain;Knee Sliding Mountain Climbers sur KB;CORE;non;Kettlebell + sol glissant;./assets/media/loops/knee_sliding_mountain.mp4;./assets/media/frames/knee_sliding_mountain.webp;
kb_crunch;Crunches KB;CORE;non;Kettlebell;./assets/media/loops/kb_crunch.mp4;./assets/media/frames/kb_crunch.webp;
plank_drag;Plank Drag;CORE;non;Kettlebell;./assets/media/loops/plank_drag.mp4;./assets/media/frames/plank_drag.webp;
farmer_little_hops;Farmer Little Hops;CORE;oui;Kettlebell;./assets/media/loops/farmer_little_hops.mp4;./assets/media/frames/farmer_little_hops.webp;
strip_tease_plank;Strip Tease Plank;CORE;non;Aucun;./assets/media/loops/strip_tease_plank.mp4;./assets/media/frames/strip_tease_plank.webp;
starfish_crunch;Starfish Crunches;CORE;non;Aucun;./assets/media/loops/starfish_crunch.mp4;./assets/media/frames/starfish_crunch.webp;
tuck_vups;Tuck V-Ups;CORE;non;Aucun;./assets/media/loops/tuck_vups.mp4;./assets/media/frames/tuck_vups.webp;
elbow_taps_kb;Elbow Taps KB;CORE;non;Kettlebell;./assets/media/loops/elbow_taps_kb.mp4;./assets/media/frames/elbow_taps_kb.webp;
cross_hop_plank;Cross Hop Planks;CORE;non;Aucun;./assets/media/loops/cross_hop_plank.mp4;./assets/media/frames/cross_hop_plank.webp;
burpee_no_pushup;Burpees sans pompe;CARDIO;non;Aucun;./assets/media/loops/burpee_no_pushup.mp4;./assets/media/frames/burpee_no_pushup.webp;
stepup_alt_chair;Step-Up alterné sur chaise;CARDIO;non;Chaise;./assets/media/loops/stepup_alt_chair.mp4;./assets/media/frames/stepup_alt_chair.webp;
mountain_climber_high;Mountain Climbers pied posé haut;CARDIO;non;Support;./assets/media/loops/mountain_climber_high.mp4;./assets/media/frames/mountain_climber_high.webp;
short_shuttles;Navettes courtes;CARDIO;non;Aucun;./assets/media/loops/short_shuttles.mp4;./assets/media/frames/short_shuttles.webp;
bear_crawl;Marche de l’ours;CARDIO;non;Aucun;./assets/media/loops/bear_crawl.mp4;./assets/media/frames/bear_crawl.webp;
high_knees_dynamic;Montées de genoux dynamiques;CARDIO;non;Aucun;./assets/media/loops/high_knees_dynamic.mp4;./assets/media/frames/high_knees_dynamic.webp;
partial_jump_lunges;Fentes sautées partielles;CARDIO;non;Aucun;./assets/media/loops/partial_jump_lunges.mp4;./assets/media/frames/partial_jump_lunges.webp;
jumping_jacks;Jumping Jacks;CARDIO;non;Aucun;./assets/media/loops/jumping_jacks.mp4;./assets/media/frames/jumping_jacks.webp;
shadow_boxing_freq;Shadow Boxing fréquence;CARDIO;non;Aucun;./assets/media/loops/shadow_boxing_freq.mp4;./assets/media/frames/shadow_boxing_freq.webp;
burpee;Burpees;CARDIO;non;Aucun;./assets/media/loops/burpee.mp4;./assets/media/frames/burpee.webp;
plank_tuck;Planche Regroupement;CARDIO;non;Aucun;./assets/media/loops/plank_tuck.mp4;./assets/media/frames/plank_tuck.webp;
frog_jumps;Frog Jumps;CARDIO;non;Aucun;./assets/media/loops/frog_jumps.mp4;./assets/media/frames/frog_jumps.webp;
fast_feet;Piétinements fréquence;CARDIO;non;Aucun;./assets/media/loops/fast_feet.mp4;./assets/media/frames/fast_feet.webp;
advanced_skater;Advanced Skater Jumps;CARDIO;non;Aucun;./assets/media/loops/advanced_skater.mp4;./assets/media/frames/advanced_skater.webp;
ninja_tuck_jumps;Ninja Tuck Jumps;CARDIO;non;Aucun;./assets/media/loops/ninja_tuck_jumps.mp4;./assets/media/frames/ninja_tuck_jumps.webp;
hannibal_pushup;Pompes Hannibal;CARDIO;non;Aucun;./assets/media/loops/hannibal_pushup.mp4;./assets/media/frames/hannibal_pushup.webp;
running_man;Running Man;CARDIO;non;Aucun;./assets/media/loops/running_man.mp4;./assets/media/frames/running_man.webp;
mule_kicks;Mule Kicks;CARDIO;non;Aucun;./assets/media/loops/mule_kicks.mp4;./assets/media/frames/mule_kicks.webp;
high_burpee_chair;High Burpees sur chaise;CARDIO;non;Chaise;./assets/media/loops/high_burpee_chair.mp4;./assets/media/frames/high_burpee_chair.webp;
clean_bi;Cleans bilatéraux KB;CARDIO;non;Kettlebell;./assets/media/loops/clean_bi.mp4;./assets/media/frames/clean_bi.webp;
goblet_squat;KB Goblet Squat;CARDIO;non;Kettlebell;./assets/media/loops/goblet_squat.mp4;./assets/media/frames/goblet_squat.webp;
swing_bi;Swings bilatéraux KB;CARDIO;non;Kettlebell;./assets/media/loops/swing_bi.mp4;./assets/media/frames/swing_bi.webp;
burpee_deadlift;Burpee sans pompe + KB Deadlift;CARDIO;non;Kettlebell;./assets/media/loops/burpee_deadlift.mp4;./assets/media/frames/burpee_deadlift.webp;
kneel_to_squat_bi;KB Kneel-To-Squat bilatéral;CARDIO;non;Kettlebell;./assets/media/loops/kneel_to_squat_bi.mp4;./assets/media/frames/kneel_to_squat_bi.webp;
row_bi_cardio;KB Row bilatéral;CARDIO;non;Kettlebell;./assets/media/loops/row_bi_cardio.mp4;./assets/media/frames/row_bi_cardio.webp;
kb_butt_kicker;KB Butt Kicker;CARDIO;non;Kettlebell;./assets/media/loops/kb_butt_kicker.mp4;./assets/media/frames/kb_butt_kicker.webp;
baby_skater_hops;Baby Skater Hops;CARDIO;non;Kettlebell;./assets/media/loops/baby_skater_hops.mp4;./assets/media/frames/baby_skater_hops.webp;
suitcase_high_knees;Suitcase High Knees;CARDIO;oui;Kettlebell;./assets/media/loops/suitcase_high_knees.mp4;./assets/media/frames/suitcase_high_knees.webp;
kb_running_man;KB Running Man;CARDIO;non;Kettlebell;./assets/media/loops/kb_running_man.mp4;./assets/media/frames/kb_running_man.webp;
grave_diggers;Grave Diggers;CARDIO;non;Kettlebell;./assets/media/loops/grave_diggers.mp4;./assets/media/frames/grave_diggers.webp;
thruster_bi;Thrusters bilatéraux KB;CARDIO;non;Kettlebell;./assets/media/loops/thruster_bi.mp4;./assets/media/frames/thruster_bi.webp;
clean_uni;Clean unilatéral KB;CARDIO;oui;Kettlebell;./assets/media/loops/clean_uni.mp4;./assets/media/frames/clean_uni.webp;
row_uni_cardio;Row unilatéral KB — version cardio;CARDIO;oui;Kettlebell;./assets/media/loops/row_uni_cardio.mp4;./assets/media/frames/row_uni_cardio.webp;
swing_uni;Swing unilatéral KB;CARDIO;oui;Kettlebell;./assets/media/loops/swing_uni.mp4;./assets/media/frames/swing_uni.webp;
burpee_clean_uni;Burpee & Clean unilatéral KB;CARDIO;oui;Kettlebell;./assets/media/loops/burpee_clean_uni.mp4;./assets/media/frames/burpee_clean_uni.webp;
snatch_uni;Snatch unilatéral KB;CARDIO;oui;Kettlebell;./assets/media/loops/snatch_uni.mp4;./assets/media/frames/snatch_uni.webp;
clean_press_uni;Clean & Press unilatéral KB;CARDIO;oui;Kettlebell;./assets/media/loops/clean_press_uni.mp4;./assets/media/frames/clean_press_uni.webp;
goblet_jump_lunge;Fentes sautées Goblet;CARDIO;non;Kettlebell;./assets/media/loops/goblet_jump_lunge.mp4;./assets/media/frames/goblet_jump_lunge.webp;
swing_90_90;90-90 Swings;CARDIO;non;Kettlebell;./assets/media/loops/swing_90_90.mp4;./assets/media/frames/swing_90_90.webp;
knee_push_iso;Pompe isométrique sur genoux;CHALLENGE;non;Aucun;./assets/media/loops/knee_push_iso.mp4;./assets/media/frames/knee_push_iso.webp;
knee_pushups;Pompes sur genoux;CHALLENGE;non;Aucun;./assets/media/loops/knee_pushups.mp4;./assets/media/frames/knee_pushups.webp;
pushup_iso;Pompe isométrique;CHALLENGE;non;Aucun;./assets/media/loops/pushup_iso.mp4;./assets/media/frames/pushup_iso.webp;
superman_hold;Superman Row Hold & Squeeze — serviette;CHALLENGE;non;Serviette;./assets/media/loops/superman_hold.mp4;./assets/media/frames/superman_hold.webp;
row_supinated_bi;Row KB 2 bras prise supination;CHALLENGE;non;Kettlebell;./assets/media/loops/row_supinated_bi.mp4;./assets/media/frames/row_supinated_bi.webp;
row_iso_belly;Row KB 2 bras iso contre ventre;CHALLENGE;non;Kettlebell;./assets/media/loops/row_iso_belly.mp4;./assets/media/frames/row_iso_belly.webp;
row_elbows_out_bi;Row KB 2 bras coudes écartés;CHALLENGE;non;Kettlebell;./assets/media/loops/row_elbows_out_bi.mp4;./assets/media/frames/row_elbows_out_bi.webp;
wall_sit_kb_hang;Chaise + KB suspendue sous les jambes;CHALLENGE;non;Kettlebell;./assets/media/loops/wall_sit_kb_hang.mp4;./assets/media/frames/wall_sit_kb_hang.webp;
goblet_jump_squat;Goblet Squat explosif / sauté;CHALLENGE;non;Kettlebell;./assets/media/loops/goblet_jump_squat.mp4;./assets/media/frames/goblet_jump_squat.webp;
american_swing;American KB Swing;CHALLENGE;non;Kettlebell;./assets/media/loops/american_swing.mp4;./assets/media/frames/american_swing.webp;
goblet_stepup;Step-Up Goblet alterné sur chaise;CHALLENGE;non;Kettlebell + chaise;./assets/media/loops/goblet_stepup.mp4;./assets/media/frames/goblet_stepup.webp;
